Draft Year,First Season,Draft Pick,Name,College,Team Drafted,Total,1st Year,2nd Year,3rd Year Option,MIN_S1,MIN_S2,PTS_S1,PTS_S2,AST_S1,AST_S2,REB_S1,REB_S2,STL_S1,STL_S2,FG3M_S1,FG3M_S2,FG3A_S1,FG3A_S2,FTM_S1,FTM_S2,FTA_S1,FTA_S2,FGM_S1,FGM_S2,FGA_S1,FGA_S2,cap_space_s1,cap_alloc_s1,cap_space_s2,cap_alloc_s2
2012,2012-2013,16,Royce White,Iowa State,HOU,"$7,909,700 ","$1,645,440 ","$1,719,480 ","$1,793,520 ",9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,-5198378.0,63877378.0,,
2012,2012-2013,17,Tyler Zeller,UNC,DAL,"$7,517,295 ","$1,563,120 ","$1,633,440 ","$1,703,760 ",2033.0,1049.0,610.0,399.0,96.0,36.0,438.0,282.0,35.0,18.0,0.0,0.0,4.0,1.0,120.0,87.0,157.0,121.0,245.0,156.0,559.0,290.0,-3897526.0,61941526.0,-9378497.0,68057497.0
2012,2012-2013,18,Terrence Jones,Kentucky,HOU,"$7,145,050 ","$1,485,000 ","$1,551,840 ","$1,618,680 ",276.0,2078.0,104.0,921.0,15.0,87.0,65.0,528.0,12.0,53.0,5.0,31.0,19.0,101.0,13.0,118.0,17.0,195.0,43.0,386.0,94.0,712.0,2608562.0,55435438.0,-5198378.0,63877378.0
2012,2012-2013,19,Andrew Nicholson,St. Bonaventure,ORL,"$6,826,594 ","$1,418,160 ","$1,482,000 ","$1,545,840 ",1249.0,1174.0,587.0,435.0,44.0,25.0,258.0,255.0,24.0,18.0,0.0,28.0,0.0,89.0,75.0,47.0,94.0,57.0,256.0,180.0,486.0,420.0,-8171396.0,66215396.0,5162269.0,53516731.0
2012,2012-2013,20,Evan Fournier,,DEN,"$6,556,245 ","$1,361,400 ","$1,422,720 ","$1,483,920 ",428.0,1504.0,202.0,638.0,44.0,112.0,35.0,202.0,19.0,34.0,22.0,89.0,54.0,237.0,30.0,93.0,39.0,123.0,75.0,228.0,152.0,544.0,-5926222.0,63970222.0,-12151842.0,70830842.0
2012,2012-2013,21,Jared Sullinger,Ohio State,BOS,"$6,366,420 ","$1,306,920 ","$1,365,720 ","$1,424,520 ",892.0,2041.0,270.0,982.0,35.0,118.0,264.0,601.0,22.0,35.0,1.0,56.0,5.0,208.0,47.0,158.0,63.0,203.0,111.0,384.0,225.0,899.0,-13532087.0,71576087.0,-44249076.0,102928076.0
2012,2012-2013,22,Fab Melo,Syracuse,BOS,"$6,183,368 ","$1,254,720 ","$1,311,240 ","$1,367,640 ",36.0,,7.0,,0.0,,3.0,,2.0,,0.0,,0.0,,1.0,,4.0,,3.0,,6.0,,-13532087.0,71576087.0,,
2012,2012-2013,23,John Jenkins,Vanderbilt,ATL,"$6,004,305 ","$1,204,560 ","$1,258,800 ","$1,312,920 ",902.0,158.0,374.0,40.0,56.0,11.0,94.0,22.0,12.0,1.0,53.0,4.0,138.0,18.0,59.0,4.0,70.0,4.0,131.0,16.0,294.0,42.0,-8448527.0,66492527.0,201441.0,58477559.0
2012,2012-2013,24,Jared Cunningham,Oregon State,CLE,"$5,829,450 ","$1,156,320 ","$1,208,400 ","$1,260,360 ",26.0,22.0,16.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,6.0,1.0,14.0,2.0,4079850.0,53964150.0,-7500320.0,66179320.0
2012,2012-2013,25,Tony Wroten,Washington,MEM,"$5,659,594 ","$1,110,120 ","$1,160,040 ","$1,210,080 ",272.0,1765.0,91.0,939.0,43.0,217.0,28.0,228.0,8.0,78.0,4.0,40.0,16.0,188.0,21.0,209.0,29.0,326.0,33.0,345.0,86.0,808.0,-5232388.0,63276388.0,-14099550.0,72778550.0
2012,2012-2013,26,Miles Plumlee,Duke,IND,"$5,473,974 ","$1,073,280 ","$1,121,520 ","$1,169,880 ",55.0,1964.0,13.0,646.0,2.0,43.0,22.0,626.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,74.0,4.0,132.0,5.0,286.0,21.0,553.0,-8701868.0,66745868.0,-8749228.0,67428228.0
2012,2012-2013,27,Arnett Moultrie,Mississippi State,MIA,"$5,317,353 ","$1,042,320 ","$1,089,240 ","$1,136,160 ",542.0,187.0,174.0,36.0,10.0,2.0,145.0,35.0,17.0,8.0,0.0,0.0,0.0,0.0,18.0,4.0,28.0,5.0,78.0,16.0,134.0,38.0,-25387885.0,83431885.0,-21966920.0,80645920.0
2012,2012-2013,28,Perry Jones,Baylor,OKC,"$5,285,886 ","$1,035,960 ","$1,082,520 ","$1,129,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2012-2013,29,Marquis Teague,Kentucky,CHI,"$5,247,301 ","$1,028,400 ","$1,074,720 ","$1,120,920 ",392.0,242.0,99.0,45.0,63.0,28.0,44.0,19.0,9.0,2.0,4.0,2.0,23.0,10.0,9.0,11.0,16.0,16.0,43.0,16.0,113.0,66.0,-16214448.0,74258448.0,-12394626.0,71073626.0
2012,2012-2013,30,Festus Ezeli,Vanderbilt,GSW,"$5,209,508 ","$1,020,960 ","$1,066,920 ","$1,112,880 ",1120.0,504.0,191.0,201.0,22.0,9.0,313.0,155.0,23.0,7.0,0.0,0.0,0.0,0.0,43.0,49.0,81.0,78.0,74.0,76.0,169.0,139.0,-11668825.0,69712825.0,-17326141.0,80391141.0
2013,2013-2014,1,Anthony Bennett,UNLV,CLE,"$24,010,049 ","$5,324,280 ","$5,563,920 ","$5,803,560 ",663.0,894.0,217.0,298.0,17.0,48.0,155.0,216.0,21.0,27.0,13.0,7.0,53.0,23.0,44.0,41.0,69.0,64.0,80.0,125.0,225.0,297.0,-7500320.0,66179320.0,-18312634.0,81377634.0
2013,2013-2014,2,Victor Oladipo,Indiana,ORL,"$21,487,440 ","$4,763,760 ","$4,978,200 ","$5,192,520 ",2487.0,2573.0,1106.0,1292.0,327.0,295.0,329.0,302.0,129.0,120.0,74.0,84.0,226.0,248.0,248.0,262.0,318.0,320.0,392.0,473.0,936.0,1086.0,5162269.0,53516731.0,4234482.0,58830518.0
2013,2013-2014,3,Otto Porter Jr.,Georgetown,WAS,"$19,305,421 ","$4,278,000 ","$4,470,480 ","$4,662,960 ",319.0,1432.0,78.0,445.0,10.0,65.0,57.0,221.0,8.0,44.0,4.0,35.0,21.0,104.0,8.0,58.0,12.0,79.0,33.0,176.0,91.0,391.0,-11622084.0,70301084.0,-11352924.0,74417924.0
2013,2013-2014,4,Cody Zeller,Indiana,CHA,"$17,410,113 ","$3,857,040 ","$4,030,560 ","$4,204,200 ",1417.0,1487.0,490.0,472.0,92.0,100.0,353.0,362.0,40.0,34.0,0.0,1.0,1.0,1.0,146.0,127.0,200.0,164.0,172.0,172.0,404.0,373.0,-4145677.0,62824677.0,,
2013,2013-2014,5,Alex Len,Maryland,PHO,"$15,773,381 ","$3,492,720 ","$3,649,920 ","$3,807,120 ",362.0,1518.0,86.0,432.0,4.0,32.0,99.0,454.0,4.0,34.0,0.0,1.0,0.0,3.0,20.0,73.0,31.0,104.0,33.0,179.0,78.0,353.0,4893616.0,53785384.0,2827732.0,60237268.0
2013,2013-2014,6,Nerlens Noel,Kentucky,NOH,"$14,329,730 ","$3,172,320 ","$3,315,120 ","$3,457,800 ",2311.0,1965.0,744.0,747.0,128.0,122.0,611.0,542.0,133.0,118.0,0.0,1.0,0.0,2.0,140.0,134.0,230.0,227.0,302.0,306.0,653.0,587.0,,,,
2013,2013-2014,7,Ben McLemore,Kansas,SAC,"$13,087,722 ","$2,895,960 ","$3,026,280 ","$3,156,600 ",2187.0,2670.0,720.0,996.0,82.0,140.0,235.0,241.0,45.0,77.0,95.0,140.0,297.0,391.0,115.0,130.0,143.0,160.0,255.0,363.0,679.0,831.0,-4202623.0,62881623.0,-12259906.0,75324906.0
2013,2013-2014,8,Kentavious Caldwell-Pope,Georgia,DET,"$11,995,639 ","$2,653,080 ","$2,772,480 ","$2,891,760 ",1583.0,2587.0,470.0,1043.0,55.0,109.0,156.0,255.0,75.0,93.0,59.0,153.0,185.0,444.0,47.0,110.0,61.0,158.0,182.0,390.0,460.0,972.0,-3218253.0,61897253.0,-806995.0,63871995.0
2013,2013-2014,9,Trey Burke,Michigan,MIN,"$11,032,158 ","$2,438,760 ","$2,548,560 ","$2,658,240 ",2262.0,2288.0,895.0,973.0,396.0,328.0,208.0,204.0,42.0,65.0,111.0,124.0,336.0,390.0,102.0,109.0,113.0,145.0,341.0,370.0,897.0,1005.0,-9475796.0,68154796.0,-5770033.0,68835033.0
2013,2013-2014,10,CJ McCollum,Lehigh,POR,"$10,482,459 ","$2,316,720 ","$2,421,000 ","$2,525,160 ",476.0,973.0,201.0,424.0,27.0,64.0,48.0,91.0,14.0,43.0,30.0,55.0,80.0,139.0,23.0,51.0,34.0,73.0,74.0,159.0,178.0,365.0,-4020372.0,62699372.0,-10844998.0,73909998.0
2013,2013-2014,11,Michael Carter-Williams,Syracuse,PHI,"$10,083,526 ","$2,200,920 ","$2,300,040 ","$2,399,040 ",2414.0,1391.0,1167.0,613.0,441.0,302.0,437.0,254.0,130.0,60.0,55.0,32.0,208.0,125.0,258.0,117.0,367.0,182.0,427.0,232.0,1054.0,611.0,4898157.0,53780843.0,2598778.0,60466222.0
2013,2013-2014,12,Steven Adams,Pitt,OKC,"$9,695,397 ","$2,090,880 ","$2,184,960 ","$2,279,040 ",1197.0,1771.0,265.0,537.0,43.0,66.0,332.0,523.0,40.0,38.0,0.0,0.0,0.0,2.0,79.0,103.0,136.0,205.0,93.0,217.0,185.0,399.0,-12017313.0,70696313.0,-16641876.0,79706876.0
2013,2013-2014,13,Kelly Olynyk,Gonzaga,DAL,"$9,321,294 ","$1,986,360 ","$2,075,760 ","$2,165,160 ",1400.0,1424.0,607.0,656.0,109.0,109.0,365.0,303.0,35.0,64.0,40.0,61.0,114.0,175.0,99.0,93.0,122.0,136.0,234.0,251.0,502.0,528.0,-9378497.0,68057497.0,-11949621.0,75014621.0
2013,2013-2014,14,Shabazz Muhammad,UCLA,UTA,"$8,962,299 ","$1,887,120 ","$1,971,960 ","$2,056,920 ",290.0,866.0,143.0,512.0,6.0,44.0,53.0,154.0,8.0,18.0,3.0,20.0,11.0,51.0,26.0,104.0,40.0,145.0,57.0,194.0,124.0,397.0,1252330.0,57426670.0,4159382.0,58905618.0
2013,2013-2014,15,Giannis Antetokounmpo,,MIL,"$8,615,141 ","$1,792,560 ","$1,873,200 ","$1,953,960 ",1897.0,2541.0,525.0,1030.0,150.0,207.0,339.0,542.0,60.0,73.0,41.0,7.0,118.0,44.0,138.0,257.0,202.0,347.0,173.0,383.0,418.0,780.0,4449476.0,54229524.0,7950519.0,55114481.0
2013,2013-2014,16,Lucas Nogueira,,BOS,"$8,186,574 ","$1,703,040 ","$1,779,720 ","$1,856,280 ",23.0,225.0,6.0,65.0,1.0,7.0,11.0,46.0,2.0,12.0,0.0,1.0,0.0,3.0,2.0,8.0,4.0,15.0,2.0,28.0,8.0,44.0,-28982946.0,92047946.0,-11451123.0,81451123.0
